a 日
nwfa 鲁
nxu 龟
nyo 疋
nyvi 弦
o 人
oaa 倡
oahe 复
oaln 刽
oam 但
oan 们
oanl 郐
oapv 偈
ob 内
obcn 侧
obgr 倜
obmc 俱
obmr 侗
obnd 俘
obo 肉
obof 傺
obp 惫
ocb 佾
ocor 俗
ocsh 份
ocwa 僧
od 休
odf 煲
odg 堡
odhf 鸺
odi 付
odm 体
odmq 伟
odok 叙
odsmg 籴
odyj 斜
oe 氽
of 伙
ofb 俏
ofbc 偿
ofbf 傥
ofbr 倘
ofhaf 鹪
ofln 劁
ofp 您
ofq 伴
ofqu 倦
og 仕
og 隹
ogbuc 赁
ogd 集
ogdi 侍
oge 双
ogf 焦
ogg 佳
oggu 侥
oghaf 鹤
ogj 隼
oglms 隽
ogni 俦
ogp 恁
ogr 售
ogr 佶
ogrr 僖
ogsk 傲
ogyrg 雠
oh 入
oha 伯
ohce 傻
ohdn 俐
ohdv 倭
ohe 汆
ohey 佟
ohg 任
ohhj 俾
ohi 傀
ohj 仟
ohjd 侏
ohkb 侨
ohn 仉
ohnb 佩
ohpm 低
ohq 件
ohqi 俄
ohqo 佚
ohs 作
ohsb 偏
ohvl 仰
ohwp 偬
ohxu 倪
oi 伐
oiamh 饧
oiapp 馄
oiar 仓
oiav 食
oiawe 馒
oibi 傅
oibv 馁
oice 俊
oig 垡
oiggu 饶
oihbr 饷
oihe 饭
oihg 饪
oihhw 馏
oihi 馈
oihk 饫
oihn 饥
oihq 侔
oihqi 饿
oihxe 馊
oiii 饯
oiir 饴
oijbd 饽
oije 俅
oijrr 馆
oik 伏
oikf 伪
oiku 优
oilb 佣
oilmi 蚀
oimbc 领
oimvn 瓴
oin 今
oinc 贪
oinhx 馅
oini 令
oino 饮
oinp 念
oinr 含
oinri 馋
oinv 衾
oioi 俯
oiok 俟
oioks 饬
oiolb 饰
oiomd 馀
oiond 饩
oionk 糇
oip 代
oipru 饱
oipu 饨
oiruc 馔
oisj 饵
oismm 翎
oismr 饲
oitak 馍
oitlm 馑
oitqg 馐
oitt 饼
oiyck 饺
oiyrv 馕
oj 什
oj 午
ojbm 值
ojcm 倥
oje 伎
ojii 传
ojk 仗
ojkp 佬
ojlk 使
ojmc 傧
ojmn 伫
ojp 佗
ojr 估
ojrk 做
ojrr 倌
ojtc 偾
oju 缶
ok 矢
okb 侑
okcf 僚
okhdv 矮
okhkb 矫
oklu 俺
okm 佐
okmr 倚
okmrt 短
okms 侉
okn 仇
oknl 矧
oknwm 鳘
okog 雉
okoo 侠
okoog 矬
okp 悠
okr 佑
okr 知
oks 仂
oksr 伽
okss 矩
okvif 繁
ol 仲
oll 介
olln 佛
olmo 佻
olmy 俳
olnk 候
olod 条
oloh 修
olok 攸
olok 倏
olwl 伸
olws 俜
olwv 偻
om 丘
om 仝
oma 佰
ombb 儒
ombn 俞
ombp 愈
ombt 仑
omc 兵
omd 余
omdm 伍
omdw 畲
omg 全
omgn 倒
omh 乒
omi 乓
omig 侄
omjr 舍
omlb 俩
omlh 伢
omlk 便
omm 仁
ommf 佘
ommm 仨
ommp 俪
ommv 佞
omn 气
omn 仃
omnl 邱
omnn 例
omno 歙
omnr 何
omr 合
omrb 龠
omrl 命
omrm 翕
omro 佥
omrp 龛
omrq 拿
omrt 盒
omsl 卸
omu 岳
omua 僭
omvn 佤
omwa 会
omwc 价
omwd 傈
omwd 僳
omwm 僵
on 乞
onao 像
onbuu 觎
oncr 儋
oncsh 氛
ond 仔
onf 你
onff 氮
onhey 氡
onhqu 毹
onhs 仍
onib 俑
onin 侈
onjru 氪
onjv 氨
onkq 健
onl 氕
onll 氘
onlll 氚
onlln 氟
onmk 侯
onmlm 氩
onmvm 氢
onnhs 氖
onqmb 氰
ontq 氧
onu 氙
onvne 氯
onwk 氤
onwot 氲
onyvo 氦
ooah 伤
oobm 俎
oog 坐
oogf 僬
ooii 伶
ooir 伧
ooj 仵
ooln 剑
ooma 侩
oomb 伦
oomn 偷
oomo 俭
oon 仡
oooj 伞
oook 敛
oowy 侮
op 化
opbuc 贷
opbuc 货
opd 他
ophq 牮
opmc 倾
opp 仳
oppa 偕
opr 佝
opu 岱
opwgf 黛
opyhv 袋
oq 年
oqke 傣
oqkq 俸
oqmb 倩
oqmc 债
ora 智
ord 保
orhaf 鸽
orhr 侣
orhu 侃
ori 戗
orln 创
ormbc 颌
ormbc 颔
ornin 舒
orrk 俨
orvk 俣
orye 假
oryo 促
osav 偃
osd 榘
oshi 仞
osj 佴
osjr 倨
osk 伊
osme 侵
osmr 伺
osmv 伥
osp 伲
osrj 僻
osrr 伛
oss 佢
osuu 倔
ota 借
otc 供
otf 无
otgi 仪
othb 备
otkr 偌
otlm 仅
otniq 舞
otog 傩
otq 佯
otrk 儆
otwv 侬
ou 仙
oudk 缺
oudm 钵
oum 缸
oumwj 坛
ouog 催
outrg 罐
ouypd 罅
ovio 似
ow 佃
owd 倮
owg 俚
owjr 个
owlb 偶
owlv 儇
owmv 偎
owww 儡
owyi 每
oy 仆
oyaj 倬
oybc 侦
oybs 傍
oyck 佼
oyfu 僦
oyg 住
oyhn 伉
oyhs 仿
oyhv 依
oylm 企
oymr 信
oymy 佧
oyok 敏
oyra 储
oyrn 停
oyt 位
oytg 僮
oytp 亿
oytr 倍
oyub 禽
oyx 侪
oyyiu 毓
p 心
pa 旬
pa 旨
pahm 惺
paiu 慨
pam 怛
pamj 悍
pank 悯
panl 郇
paph 惕
pav 恨
pawe 慢
payf 憬
pbcn 恻
pbgr 惆
pbjj 恽
pbmr 恫
pbtv 惘
pbug 惧
pci 忪
pcnh 悌
pcru 悦
pcwa 憎
pd 也
pddo 憷
pdi 忖
pdk 快
pdl 悚
pdlc 懒
pdmbc 颖
peg 怪
pembc 颍
pfb 悄
pfbr 惝
pfmu 恍
pgdi 恃
pgi 怯
pgtj 悻
ph 必
pha 怕
phag 惶
phbk 懊
phbt 恤
phdd 悸
phdf 愀
pher 恪
phgs 恸
phh 勿
phi 愧
phj 忏
phjr 恬
phln 刎
phml 忻
php 忽
phqm 性
phs 怍
pi 勾
pi 勺
pice 悛
piih 惨
pijb 匍
pijc 怵
pilb 慵
pile 慷
pim 匀
pir 怡
pirp 憾
piyr 惦
pjbc 慎
pjbd 悖
pje 忮
pjhaf 鸨
pjjl 惭
pjnu 惋
pjr 怙
pjtc 愤
pkf 恢
pkk 匆
pklb 怖
pklq 肄
pkmb 惰
pknio 疑
pl 忡
plbk 怏
plbu 忱
plln 怫
plmc 愦
plmy 悱
pmak 恹
pmbb 懦
pmbc 顷
pmbm 恒
pmfj 怦
pmmr 悟
pmrw 匐
pmtoe 鹱
pmym 怔
pn 乜
pnbq 懈
png 忸
poae 愎
pog 惟
pogf 憔
poii 怜
poir 怆
poj 忤
pomn 愉
pomr 恰
pond 忾
potf 怃
powy 悔
pp 比
ppa 恂
ppha 皆
pphp 惚
ppph 毖
pqmb 情
pqmf 愫
pr 句
prau 悒
prhaf 鸲
prks 劬
prrj 惮
prrs 愕
pru 包
pseg 悭
psh 切
psh 忉
pshr 怊
psjj 慑
psko 惬
psmv 怅
psp 怩
psrr 怄
pt 世
pta 惜
ptbuc 贳
pthg 懂
ptwu 懵
ptxc 慊
ptyu 慌
pu 屯
pudhe 皱
puk 匈
puln 刨
pumb 惴
pumbc 顿
pumt 恺
punl 邹
puog 雏
pupu 刍
pvvw 恼
pw 甸
pwd 悃
pwg 悝
pwjc 惯
pwlj 怿
pwls 愣
pwot 愠
pyaj 悼
pymr 訇
pyoj 悴
pytg 憧
pytp 忆
pyv 忙
pywd 懔
pywv 怀
pyy 忭
q 手
qamh 扬
qamj 捍
qamo 提
qan 扪
qanr 搁
qanw 拦
qapv 揭
qase 撮
qau 把
qbbe 授
qbbsd 静
qbbuu 靓
qbcd 探
qbcv 撄
qbdi 捋
qbjj 挥
qbjmo 靛
qbme 援
qbou 摇
qbsd 挣
qbue 攫
qc 扒
qchq 掰
qcno 揿
qcsh 扮
qd 耒
qdam 揸
qdau 耙
qdfbr 耥
qdfh 耖
qdhe 披
qdhqu 耗
qdidr 耱
qdj 抹
qdk 抉
qdlwv 耧
qdmmi 耘
qdmvi 耨
qdnd 耔
qdomr 耠
qdrlr 耜
qdtbs 耢
qdtt 耕
qdttb 耩
qdwf 拣
qdwlb 耦
qdybs 耪
qeed 搡
qeee 掇
qeii 搔
qfb 捎
qfbk 撇
qfbq 撑
qfbw 挡
qffs 捞
qfh 抄
qfq 拌
qgdi 持
qgg 挂
qggu 挠
qgr 拮
qgrc 撷
qha 拍
qhau 捣
qhbf 攥
qhbu 搅
qhdf 揪
qhdw 播
qhe 扳
qhhj 捭
qhj 扦
qhjm 捶
qhjr 括
qhjx 插
qhk 契
qhkb 挢
qhkp 掭
qhlo 掀
qhlo 抓
qhml 折
qhmy 拆
qhne 投
qhp 托
qhpm 抵
qhq 挈
qhsb 掮
qhsk 捩
qhuc 攒
qhul 擤
qhuu 撬
qhvl 抑
qhxe 搜
qhxm 捏
qhye 搬
qhymu 啮
qhyu 搋
qi 找
qibi 搏
qibo 贽
qiih 掺
qijb 捕
qikk 拔
qilr 搪
qiok 挨
qipm 拭
qipsm 鸷
qir 抬
qirp 撼
qit 拚
qitc 扩
qitf 摭
qiyr 掂
qj 丰
qjbf 擦
qjbv 攮
qjcm 控
qjcn 挖
qjcv 撺
qje 技
qjii 抟
qjks 拷
qjlo 捷
qjmc 摈
qjmm 揎
qjmr 砉
qjnl 邦
qjpn 拧
qjsm 彗
qjsmp 慧
qjv 按
qka 春
qkali 蠢
qkcf 撩
qke 泰
qkhd 秦
qkhk 奏
qkhx 舂
qkik 獒
qklu 掩
qkmf 捺
qkmr 掎
qkms 挎
qkoo 挟
qkq 奉
qkus 抛
qllmi 蜇
qlln 拂
qlmo 挑
qlmy 排
qlr 哲
qlryo 踅
qlvk 擞
qlw 抽
qlwl 抻
qlwp 拽
qlwv 搂
qlymr 誓
qm 扛
qmb 青
qmbe 扰
qmbg 攉
qmbuc 责
qmbw 擂
qmfj 抨
qmgg 捱
qmj 擀
qmjk 撖
qmmr 捂
qmmv 振
qmn 打
qmr 拓
qmsu 扼
qmto 撅
qmv 表
qmvif 素
qmwyf 纛
qmwyi 毒
qnau 挽
qnbk 换
qncr 担
qnem 拯
qng 扭
qnhd 揉
qnhs 扔
qnhx 掐
qnib 捅
qnin 抒
qnkg 挺
qnmm 搦
qnoe 拨
qnok 揆
qnri 搀
qnwa 撸
qo 夫
qoa 替
qobuu 规
qodi 拊
qog 推
qoii 拎
qoip 捻
qoir 抢
qojwj 辇
qomb 抡
qomg 拴
qomn 揄
qomo 捡
qomr 拾
qoog 挫
qopd 拖
qorq 搿
qotf 抚
qoyb 擒
qpa 指
qpfd 掬
qpko 拟
qpou 掏
qpp 批
qppa 揩
qpr 拘
qpru 抱
qptd 揲
qqkk 揍
qqkq 捧
qqo 扶
qqoj 撵
qr 扣
qrau 挹
qrb 捐
qrbc 损
qrrd 操
qrrj 掸
qrsh 拐
qrsj 揖
qrsn 捌
qruc 撰
qrvp 抿
qryo 捉
qsav 揠
qshr 招
qsjj 摄
qsjl 揶
qsjr 据
qskr 捃
qsma 摺
qsmb 扫
qsmg 握
qsmg 擢
qsql 挪
qsrj 擗
qsrr 抠
qss 拒
qstt 摒
qstv 搌
qsuu 掘
qswu 揽
qta 措
qtak 摸
qtbk 撒
qtc 拱
qtcl 撕
qtkl 掷
qtod 搽
qtog 摊
qtor 搭
qtqm 搓
qtt 拼
qtub 搠
qtw 描
qtwi 撙
qtxc 搛
qu 扎
qumb 揣
quob 携
quog 摧
quu 拙
qvis 拗
qvno 掾
qvvn 拶
qwd 捆
qwhr 撂
qwim 掴
qwjc 掼
qwkp 摁
qwl 押
qwlj 择
qwlp 摆
qwlv 擐
qwot 搵
qwvf 摞
qwyi 拇
qy 扑
qyaj 掉
qybb 挝
qybk 撤
qybp 拢
qycb 摘
qyg 拄
qygq 挞
qyhn 抗
qyij 摔
qyj 抖
qylm 扯
qyok 掖
qypp 摅
qyps 掳
qyr 拈
qyrb 搞
qyrf 掠
qyrv 攘
qyt 拉
qyta 揞
qytg 撞
qytr 掊
qytv 接
qyvg 拥
qyvw 搐
qywm 擅
qyx 挤
r 口
raa 唱
rail 唧
rapv 喝
rase 嘬
rau 吧
rau 邑
rav 哏
rbbe 嗳
rbcv 嘤
rbgr 啁
rbhaf 鹃
rbm 咀
rbsmr 嗣
rbuc 员
rbuc 呗
rbwi 嚼
rc 只
rc 叭
rcim 嗡
rckn 嗲
rcks 勋
rcl 吖
rcnl 郧
rcsh 吩
rcwa 噌
rd 呆
rdam 喳
rdd 啉
rddf 噤
rdln 喇
rdlo 嗽
rede 啵
reed 嗓
reee 啜
reoy 嗨
rfb 哨
rfbc 唢
rfd 咪
rff 啖
rffs 唠
rfh 吵
rfmu 咣
rg 吐
rgbt 噎
rgcc 吓
rgg 哇
rggu 哓
rgit 嗑
rglc 哧
rgnl 郢
rgr 咭
rgrr 嘻
rgsk 嗷
rgth 嘭
rhaf 鸣
rhaj 嗥
rhap 唣
rhbk 噢
rhbu 咱
rhdf 啾
rher 咯
rhey 咚
rhfd 呼
rhg 呈
rhhj 啤
rhhv 哌
rhjm 唾
rhml 听
rhmo 噬
rhp 吒
rhqi 哦
rhr 吕
rhrf 呜
rhs 咋
rhsk 唳
rhu 兄
rhud 哚
rhuk 嗅
rhvo 呱
rhxe 嗖
rice 唆
rihf 嘁
rihq 哞
rihr 喊
rihu 吮
riil 啷
rijb 哺
rijc 嘛
rik 吠
riob 嗵
riog 虽
riok 唉
rjal 嘟
rjbc 嗔
rjbf 嗦
rjbf 嚓
rjbj 喃
rjbo 嚏
rjbv 囔
rjd 味
rje 吱
rjhp 咤
rjhr 喀
rji 战
rji 戢
rjjb 嘲
rjji 啭
rjkd 哮
rjmm 喧
rjmo 啶
rjnl 郸
rjpa 嗜
rjpn 咛
rjpu 嘧
rjr 咕
rjstv 冁
rjtc 喷
rjtg 噻
rkcf 嘹
rkf 咴
rkgg 喹
rki 呔
rkkb 唏
rkn 咦
rkp 愍
rks 另
rks 叻
rksr 咖
rlb 吊
rlmy 啡
rlwl 呻
rlwv 喽
rlx 啸
rmaph 踢
rmasm 蹋
rmav 跟
rmbb 嚅
rmbd 踩
rmbg 嚯
rmbhx 蹈
rmbt 跚
rmbvk 蹊
rmc 趴
rmcw 哂
rmcwa 蹭
rmd 吁
rmdhe 跛
rmdm 呖
rmea 踏
rmffe 躞
rmfm 呸
rmgg 跬
rmggu 跷
rmgni 踌
rmhdw 蹯
rmher 路
rmhgu 跣
rmhjg 踵
rmhlb 踽
rmhlc 踬
rmhnd 跺
rmhoo 踪
rmhqo 跌
rmhsb 蹁
rmhuc 躜
rmiav 踉
rmigi 蹰
rmii 践
rmikk 跋
rmir 跆
rmite 踱
rmiwg 躔
rmiyr 踮
rmjcv 蹿
rmjp 跎
rmkms 跨
rmksr 跏
rmlk 哽
rmlm 哑
rmlmo 跳
rmmr 唔
rmmr 跖
rmmt 趼
rmmto 蹶
rmn 叮
rmnhd 蹂
rmnhe 趿
rmnib 踊
rmnkq 踺
rmnmu 跪
rmnn 咧
rmnot 蹬
rmnr 呵
rmodi 跗
rmoir 跄
rmokr 踟
rmpi 趵
rmpru 跑
rmptd 蹀
rmqo 趺
rmrb 嗝
rmrrd 躁
rmsjj 蹑
rmsjr 踞
rmsmg 跃
rmso 啄
rmss 距
rmsu 呃
rmsup 跽
rmtag 躏
rmtco 蹼
rmtja 躇
rmtkl 踯
rmtlb 蹒
rmto 噘
rmtqm 蹉
rmtwi 蹲
rmubb 蹦
rmue 嗄
rmui 嘎
rmumb 踹
rmvh 呀
rmvid 跞
rmvvv 躐
rmwd 踝
rmwf 嘌
rmwg 喱
rmwli 躅
rmwtj 跸
rmyaj 踔
rmybb 蹄
rmyck 跤
rmyfu 蹴
rmylc 迹
rmylm 趾
rmymu 跹
rmytr 踣
rmyx 跻
rnbk 唤
rndu 吼
rnhe 吸
rnin 哆
rnl 吲
rnlr 啊
rno 吹
rnot 噔
rnwa 噜
rob 呐
rod 咻
rodi 咐
rog 唯
rogf 噍
roii 呤
roin 吟
roir 呛
roma 哙
romn 喻
romr 哈
romr 啥
ron 吃
ronk 喉
roog 唑
rosk 咿
rotf 呒
royb 噙
rp 叱
rphh 吻
rphp 唿
rpou 啕
rpp 吡
rppa 喈
rpru 咆
rptd 喋
rpu 吨
rqha 啪
rqhl 哳
rqkd 嗪
rqke 唛
rqkq 唪
rqmc 啧
rqmf 嗉
rqo 呋
rqyt 啦
rrhaf 鹭
rrhn 咒
rrik 哭
rrik 兽
rrikr 器
rrmcr 嚣
rrmmk 严
rrr 品
rrrd 噪
rrwj 单
rrwmu 鼍
rsbn 唰
rsh 叨
rshaf 鹗
rsjj 嗫
rsl 叩
rslb 咂
rsln 别
rsm 叼
rsmbc 颚
rsmg 喔
rsnl 鄂
rsp 呢
rsqf 吗
rsql 哪
rsrj 噼
rsrr 呕
rsyi 嘱
rsypu 号
rtav 噶
rtc 哄
rtcl 嘶
rtco 噗
rtct 嗌
rtgi 呓
rtjs 嘞
rtk 哎
rtkr 喏
rtlo 叹
rtmj 哗
rtor 嗒
rtq 咩
rtqm 嗟
rtub 嗍
rtw 喵
rtwa 嘈
rtwv 哝
rtyb 嚆
ru 巳
rubb 嘣
rumb 喘
rumi 嗤
ruoiv 饕
rutc 巽
ruu 咄
rve 呶
rvfm 哟
rvi 吆
rvii 叽
rvis 呦
rvl 叫
rvnk 吴
rvno 喙
rvp 民
rvvm 咝
rwb 喟
rwg 哩
rwgf 嘿
rwk 咽
rwkp 嗯
rwl 呷
rwlb 喁
rwmv 喂
rwnl 鄙
rwtj 哔
rxu 黾
ry 卟
rybb 啼
rybp 咙
rycb 嘀
ryck 咬
rygq 哒
ryhn 吭
ryib 唷
rymb 啃
rymh 哕
rymp 呲
rymr 唁
rymy 咔
ryo 足
ryoj 啐
rypb 嘴
rypm 嘘
rypo 噱
rypu 唬
ryrn 哼
ryro 嚎
ryrv 嚷
rysk 嗾
ryta 喑
rytp 噫
rytv 唼
ryvo 咳
ryx 哜
s 尸
sbln 刷
sc 匹
schne 殿
scwa 层
se 尿
seb 肾
seb 臀
sebuc 贤
seg 坚
semcw 医
semrt 竖
seog 汇
seooo 聚
sesmm 翳
sev 娶
sevif 紧
sfb 屑
sfbm 驵
sfd 屎
sfdi 尉
sfe 驭
sfeii 骚
sfggu 骁
sfher 骆
sfhhw 骝
sfhkb 骄
sfhsb 骗
sfhsm 骟
sfhwp 骢
sfice 骏
sfiih 骖
sfir 骀
sfjp 驼
sfk 驮
sfkmr 骑
sflk 驶
sflll 驯
sflpc 骥
sflws 骋
sfmmp 骊
sfmwf 骠
sfodi 驸
sfog 骓
sfomo 验
sfpd 驰
sfpr 驹
sfpuu 驺
sfseo 骤
sfsnd 骣
sfsrr 驱
sftmc 骐
sftmj 骅
sftt 骈
sfwc 驷
sfwd 骒
sfwlj 驿
sfwvf 骡
sfyck 驳
sfyg 驻
sfypt 驴
sfyrv 骧
sfyvo 骇
sh 刀
shfqu 鬈
shgb 髯
shgr 髻
shhaf 鹨
shhdf 鬏
shhqu 髦
shi 戳
shi 刃
shiz 戮
shjmc 鬓
shjmf 鬃
shml 匠
shmu 髡
shod 髹
shoe 履
shoe 屐
shoo 屣
shot 屉
shov 屦
shqu 尾
shr 召
shsb 匾
shshr 髫
shvvv 鬣
shwlv 鬟
shymp 髭
sibt 监
sif 熨
sihhh 髟
silq 肆
sip 忍
sip 慰
sj 耳
sjb 臂
sjc 鐾
sjd 檗
sje 取
sjf 耿
sjg 壁
sjgb 聃
sjhhl 聊
sjhjr 聒
sjhwp 聪
sjjn 匦
sjjpn 聍
sjka 屠
sjlbu 耽
sjlmc 聩
sjlws 聘
sjmbc 颞
sjmgi 璧
sjmn 耵
sjmvn 甓
sjnl 耶
sjoii 聆
sjp 耻
sjq 擘
sjr 居
sjsh 劈
sjsjj 聂
sjv 嬖
sjvit 联
sjyhv 襞
sjyia 职
sjymr 譬
sk 尹
skn 尻
skr 君
sl 卩
slb 匝
slmbc 颐
slmc 匮
slmy 匪
slo 卧
slorr 临
slqmc 赜
slsl 臣
slwv 屡
sm 刁
smblb 帚
smg 匡
smha 习
smig 屋
smmri 寻
smog 翟
smr 司
smsim 羽
smt 羿
smv 长
smwtc 翼
smyoj 翠
smyt 翌
sndd 孱
snlr 屙
so 尺
sonl 鄹
sorc 咫
sp 尼
spp 屁
sqnl 那
sqsf 马
sr 叵
srhaf 鸥
srhg 圣
srhne 殴
srks 劭
srmvn 瓯
srnl 郡
srnl 邵
srno 欧
srp 慝
srrr 区
srtq 群
srytj 辟
ss 巨
ssr 局
ssu 凹
stkr 匿
stqq 羼
stt 屏
stv 展
su 己
su 已
suf 熙
sug 届
suhu 兕
suok 改
sup 忌
suu 屈
svnl 郾
swbt 盐
swbuu 览
swc 鉴
swl 匣
syyi 属
syyq 犀
t 廿
ta 昔
taa 菖
tab 萌
tagi 莳
tahaf 鹊
taj 草
tak 莫
taka 暮
takb 幕
takf 蓦
takg 墓
takp 慕
takq 摹
taks 募
tang 蔺
tanw 兰
tapv 葛
tase 蕞
tau 芭
tav 茛
tawe 蔓
tbbr 莴
tbbuu 觏
tbc 典
tbd 菜
tbd 槊
tbfe 藤
tbg 塑
tbhu 藐
tbijb 黼
tbjj 荤
tbks 劢
tbln 前
tbln 蒯
tbm 苴
tbmbc 颟
tbmo 蒙
tbmr 茼
tbnd 莩
tbnf 煎
tbnh 剪
tbnm 翦
tbof 蔡
tbok 散
tbr 苘
tbse 菔
tbu 苜
tbuu 苋
tbv 荽
tc 共
tca 普
tcb 期
tcbt 益
tcfb 黹
tcg 基
tchaf 鹣
tche 夔
tchml 斯
tcim 蓊
tcno 欺
tcno 歉
tcp 恭
tcru 巷
tcsh 芬
tctd 业
tcte 丛
tcvif 綦
tcwm 酋
tdbu 葙
tdci 菘
tdhl 菥
tdj 茉
tdlo 蔌
tdm 苯
tdmq 苇
tdnl 邺
tdoo 莱
teah 荡
tebm 菹
tec 凿
tede 菠
tefh 莎
tehr 落
tehv 蒎
tehw 藩
teib 蒲
teii 薄
teiv 蒗
teln 劐
tem 茳
temj 萍
temr 菏
teot 莅
terd 藻
tesd 蕖
tesu 范
teyv 茫
tfbk 蔽
tg 芏
tgb 苒
tgbuu 观
tgce 菱
tgdi 对
tgf 羔
tgftk 羹
tggi 葑
tggu 荛
tghaf 鹳
tghds 羲
tghqi 义
tghu 羌
tgii 艺
tgimo 羡
tgit 盖
tgk 美
tgks 劝
tgmbc 颧
tgno 欢
tgno 莰
tgow 蔷
tgp 恙
tgrg 薹
tgtr 善
tgv 姜
thaf 茑
thau 葩
thbu 首
thdn 莉
thds 莠
thdv 萎
thdw 蕃
thgf 薰
thhe 藜
thhj 萆
thhl 茆
thj 芊
thjd 孽
thjd 茱
thjg 董
thkb 荞
thml 芹
thne 芟
thok 薇
thon 荇
thon 蘅
thoo 苁
thoo 蓰
thpl 茚
thqi 莪
thrj 薛
thup 芪
thvu 蔸
thwp 蓖
thxo 萸
tiav 莨
tidr 蘑
tidy 蘼
tih 茂
tihc 蒇
tihv 葳
tijb 莆
tike 茇
tikt 莽
timo 茨
tims 藏
tino 芝
tip 怼
tipsm 鹚
tir 苔
titf 蔗
tj 卅
tjam 靼
tjau 靶
tjb 芾
tjbd 荸
tjcr 蓉
tje 芰
tjfb 鞘
tjgg 鞋
tjhkl 鞒
tjhml 靳
tjii 莼
tjip 蕙
tjjv 鞍
tjka 著
tjka 着
tjks 勒
tjlbk 鞅
tjlv 萋
tjme 蔻
tjmm 萱
tjmn 苎
tjmr 菪
tjmu 莞
tjnau 鞔
tjnhd 鞣
tjnu 菀
tjoa 蓿
tjomk 鞭
tjop 靴
tjpa 蓍
tjpfd 鞠
tjpyr 鞫
tjr 苦
tjrb 葫
tjrr 菅
tjthb 鞴
tjtkd 鞯
tjttb 鞲
tjygq 鞑
tk 艾
tkd 檠
tkhf 荻
tkhw 莸
tkld 荐
tklg 茬
tkmf 萘
tkn 艽
tkn 荑
tkni 芄
tknl 郑
tkok 蒺
tkoo 荚
tkq 擎
tkr 若
tkrp 惹
tksqf 惊
tksr 茄
tkss 荔
tkymr 警
tlbi 茧
tlbk 英
tlbr 萜
tlj 革
tlmc 蒉
tlmt 荩
tlmy 菲
tlpf 燕
tlqm 堇
tlvk 薮
tlwv 蒌
tlx 萧
tm 甘
tmbb 薷
tmbg 藿
tmbuu 觐
tmbw 蕾
tmcw 茜
tmd 某
tmd 芋
tmdm 苈
tmff 蒜
tmfj 苹
tmfm 苤
tmgf 蘸
tmks 勤
tmmc 其
tmmi 芸
tmmu 芫
tmmv 甚
tmnl 邯
tmnl 鄞
tmnm 薤
tmnr 苛
tmom 蕤
tmpt 葬
tmsu 苊
tmtj 华
tmtn 荆
tmto 蕨
tmvh 芽
tmvi 蓐
tmvm 茎
tmwc 黄
tmwj 蕈
tmyf 蔫
tn 芎
tndf 荪
tndo 菰
tndu 芤
tnef 蒸
tnfd 苏
tnfn 蓟
tnfq 藓
tnhe 芨
tnhs 艿
tnhx 萏
tnih 茅
tnir 茗
tniu 苑
tnkg 莛
tnli 荫
tnlm 萨
tnmu 蔬
tnnc 蓣
tno 芡
tnok 葵
tnue 菡
tnui 菟
tnyk 荬
toav 艰
tob 芮
tod 茶
todi 苻
tog 茌
tog 萑
togf 蕉
togx 旧
tohg 荏
toiav 养
toii 苓
toik 茯
toin 芩
toir 苍
tokf 蘩
tolk 莜
toll 芥
toma 荟
tomd 荼
tomg 荃
tomo 莶
tomr 荷
toog 难
took 蔹
top 花
tord 葆
totf 芜
towy 莓
toyr 蓓
tp 芯
tpa 荀
tpfd 菊
tphh 芴
tpi 芍
tpib 葡
tpou 萄
tpp 芘
tppa 蒈
tppp 蕊
tpr 苟
tpru 苞
tptd 叶
tq 羊
tqapv 羯
tqda 藉
tqdb 藕
tqhk 葜
tqhpm 羝
tqice 羧
tqie 菝
tqkd 蓁
tqm 差
tqmb 菁
tqmvm 羟
tqng 羞
tqo 芙
tqoii 羚
tqsmm 翔
tqukf 羰
trhr 莒
trji 蕺
trjl 蕲
trnl 鄯
trok 敬
trrs 萼
trsj 葺
trvp 苠
trye 葭
tsfi 蔚
tshr 苕
tsic 蕻
tsit 蓝
tsj 茸
tsmh 蓼
tsmi 荨
tsmv 苌
tsrj 薜
tss 苣
tsu 芑
tt 并
tt 井
ttm 苷
ttmc 萁
ttmv 葚
ttmvn 瓶
ttub 蒴
ttwli 蠲
ttxc 蒹
tub 朔
tuirm 馘
tuu 茁
tvfm 荭
tvft 蕴
tvhl 芗
tvi 戡
tvid 药
tvid 孳
tvii 兹
tvio 苡
tvip 慈
tvjr 菇
tvks 勘
tvmg 庄
tvmi 蒋
tvmi 薅
tvr 茹
tvyj 斟
tw 苗
tw 曲
twa 曹
twbbu 瞢
twbi 虿
twbo 趸
twdi 尊
twhd 菌
twik 猷
twk 奠
twk 茵
twkp 蒽
twla 薯
twlb 万
twlbn 甍
twlg 萝
twli 蔑
twln 梦
twlp 薨
twmmv 农
twp 葸
twpsm 鹋
twr 茴
twtj 荜
txc 兼
tybb 蒂
tybg 蓠
tybp 茏
tybs 蒡
tyck 茭
tydl 薪
tyfe 菽
tyhj 莲
tyhs 芳
tyiu 茺
tylm 芷
tymp 茈
tyoj 萃
typt 芦
tyr 苫
tyrb 蒿
tyrd 藁
tyrn 葶
tyrv 蔼
tysk 蔟
tysy 菸
tytj 莘
tytp 薏
tytr 菩
tyv 芒
tyvg 蕹
tyvu 荒
tyvw 蓄
tywv 蓑
tyx 荠
tyy 苄
tyyo 蘧
u 山
uahu 嵋
uau 岜
ubb 崩
